,Index,Scenario,Ordering,priority,prolog_priority
0,0,"{'right': 'empty', 'down': 'empty', 'left': 'red_car_straight', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_horizontal'}","[['red', 'green']]",[0 0 1 1],"[[2, 4, 2, 0, 4], [1, 4, 0, 4, 2], [2, 2, 4, 4, 0], [1, 0, 4, 2, 4]]"
1,1,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'green']]",[0 1 0 1],"[[1, 4, 4, 0, 3], [2, 3, 0, 4, 4], [1, 4, 4, 3, 0], [2, 0, 3, 4, 4]]"
2,2,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['red'], ['white']]",[0 1 0 0],"[[2, 4, 1, 4, 2], [1, 2, 4, 4, 1], [2, 1, 4, 2, 4], [1, 4, 2, 1, 4]]"
3,3,"{'right': 'red_car_turn_left', 'down': 'green_car_turn_left', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['green'], ['red']]",[0 1 0 0],"[[2, 1, 4, 4, 1], [1, 1, 4, 1, 4], [2, 4, 1, 1, 4], [1, 4, 1, 4, 1]]"
4,4,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['red', 'crosswalk']]",[0 1 1 0],"[[2, 4, 3, 4, 2], [1, 2, 4, 4, 3], [2, 3, 4, 2, 4], [1, 4, 2, 3, 4]]"
5,5,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['white', 'green']]",[0 1 1 0],"[[1, 4, 0, 4, 1], [2, 1, 4, 4, 0], [1, 0, 4, 1, 4], [2, 4, 1, 0, 4]]"
6,6,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'white_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red', 'white']]",[0 1 1 1],"[[2, 4, 2, 0, 3], [1, 3, 0, 4, 2], [2, 2, 4, 3, 0], [1, 0, 3, 2, 4]]"
7,7,"{'right': 'green_car_turn_right', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'white'], ['green']]",[0 0 1 1],"[[2, 0, 0, 3, 4], [1, 4, 3, 0, 0], [2, 0, 0, 4, 3], [1, 3, 4, 0, 0]]"
8,8,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['green']]",[0 1 0 0],"[[2, 4, 0, 4, 3], [1, 3, 4, 4, 0], [2, 0, 4, 3, 4], [1, 4, 3, 0, 4]]"
9,9,"{'right': 'green_car_turn_right', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['green'], ['white']]",[1 0 0 0],"[[1, 0, 4, 4, 1], [2, 1, 4, 0, 4], [1, 4, 0, 1, 4], [2, 4, 1, 4, 0]]"
