Index,Scenario,Ordering
0,"{'right': 'empty', 'down': 'empty', 'left': 'red_car_straight', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_horizontal'}","[['red', 'green']]"
1,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'green']]"
2,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['red'], ['white']]"
3,"{'right': 'red_car_turn_left', 'down': 'green_car_turn_left', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['green'], ['red']]"
4,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['red', 'crosswalk']]"
5,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['white', 'green']]"
6,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'white_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red', 'white']]"
7,"{'right': 'green_car_turn_right', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'white'], ['green']]"
8,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['green']]"
9,"{'right': 'green_car_turn_right', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['green'], ['white']]"
10,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['red'], ['white']]"
11,"{'right': 'white_car_straight', 'down': 'red_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['white']]"
12,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red']]"
13,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['green', 'crosswalk', 'red']]"
14,"{'right': 'crosswalk', 'down': 'green_car_turn_left', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green']]"
15,"{'right': 'green_car_straight', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk'], ['green'], ['white']]"
