,Unnamed: 0,Index,Scenario,Ordering,priority,prolog_priority,prolog_priority_solved
0,0,0,"{'right': 'empty', 'down': 'empty', 'left': 'red_car_straight', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_horizontal'}","[['red', 'green']]",[0 0 1 1],"[[2, 4, 2, 0, 4], [1, 4, 0, 4, 2], [2, 2, 4, 4, 0], [1, 0, 4, 2, 4]]","[0, 0, 1, 1]"
1,1,1,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'green']]",[0 1 0 1],"[[1, 4, 4, 0, 3], [2, 3, 0, 4, 4], [1, 4, 4, 3, 0], [2, 0, 3, 4, 4]]","[0, 1, 0, 1]"
2,2,2,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['red'], ['white']]",[0 1 0 0],"[[2, 4, 1, 4, 2], [1, 2, 4, 4, 1], [2, 1, 4, 2, 4], [1, 4, 2, 1, 4]]","[0, 1, 0, 0]"
3,3,3,"{'right': 'red_car_turn_left', 'down': 'green_car_turn_left', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['green'], ['red']]",[0 1 0 0],"[[2, 1, 4, 4, 1], [1, 1, 4, 1, 4], [2, 4, 1, 1, 4], [1, 4, 1, 4, 1]]","[0, 1, 0, 0]"
4,4,4,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['red', 'crosswalk']]",[0 1 1 0],"[[2, 4, 3, 4, 2], [1, 2, 4, 4, 3], [2, 3, 4, 2, 4], [1, 4, 2, 3, 4]]","[0, 1, 1, 0]"
5,5,5,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['white', 'green']]",[0 1 1 0],"[[1, 4, 0, 4, 1], [2, 1, 4, 4, 0], [1, 0, 4, 1, 4], [2, 4, 1, 0, 4]]","[0, 1, 1, 0]"
6,6,6,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'white_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red', 'white']]",[0 1 1 1],"[[2, 4, 2, 0, 3], [1, 3, 0, 4, 2], [2, 2, 4, 3, 0], [1, 0, 3, 2, 4]]","[0, 1, 1, 1]"
7,7,7,"{'right': 'green_car_turn_right', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'white'], ['green']]",[0 0 1 1],"[[2, 0, 0, 3, 4], [1, 4, 3, 0, 0], [2, 0, 0, 4, 3], [1, 3, 4, 0, 0]]","[1, 0, 1, 1]"
8,8,8,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['green']]",[0 1 0 0],"[[2, 4, 0, 4, 3], [1, 3, 4, 4, 0], [2, 0, 4, 3, 4], [1, 4, 3, 0, 4]]","[0, 1, 1, 0]"
9,9,9,"{'right': 'green_car_turn_right', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['green'], ['white']]",[1 0 0 0],"[[1, 0, 4, 4, 1], [2, 1, 4, 0, 4], [1, 4, 0, 1, 4], [2, 4, 1, 4, 0]]","[1, 0, 0, 0]"
10,10,10,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['red'], ['white']]",[1 0 0 0],"[[1, 1, 4, 1, 4], [2, 4, 1, 1, 4], [1, 4, 1, 4, 1], [2, 1, 4, 4, 1]]","[1, 0, 0, 0]"
11,11,11,"{'right': 'white_car_straight', 'down': 'red_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['white']]",[0 0 1 0],"[[2, 2, 3, 4, 1], [1, 1, 4, 2, 3], [2, 3, 2, 1, 4], [1, 4, 1, 3, 2]]","[1, 1, 1, 0]"
12,12,12,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red']]",[0 1 1 0],"[[2, 4, 1, 4, 3], [1, 3, 4, 4, 1], [2, 1, 4, 3, 4], [1, 4, 3, 1, 4]]","[0, 1, 1, 0]"
13,13,13,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['green', 'crosswalk', 'red']]",[1 1 1 0],"[[1, 0, 2, 4, 3], [2, 3, 4, 0, 2], [1, 2, 0, 3, 4], [2, 4, 3, 2, 0]]","[1, 1, 1, 0]"
14,14,14,"{'right': 'crosswalk', 'down': 'green_car_turn_left', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green']]",[1 1 0 0],"[[2, 3, 4, 4, 1], [1, 1, 4, 3, 4], [2, 4, 3, 1, 4], [1, 4, 1, 4, 3]]","[1, 1, 0, 0]"
15,15,15,"{'right': 'green_car_straight', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk'], ['green'], ['white']]",[0 0 1 0],"[[0, 2, 3, 4, 2], [0, 2, 4, 2, 3], [0, 3, 2, 2, 4], [0, 4, 2, 3, 2]]","[1, 0, 1, 0]"
16,16,16,"{'right': 'crosswalk', 'down': 'empty', 'left': 'red_car_straight', 'up': 'green_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green'], ['red']]",[1 0 0 1],"[[2, 3, 2, 2, 4], [1, 4, 2, 3, 2], [2, 2, 3, 4, 2], [1, 2, 4, 2, 3]]","[1, 0, 0, 1]"
17,17,17,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'red']]",[0 1 0 1],"[[1, 4, 4, 0, 3], [2, 3, 0, 4, 4], [1, 4, 4, 3, 0], [2, 0, 3, 4, 4]]","[0, 1, 0, 1]"
18,18,18,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['green', 'crosswalk', 'red']]",[1 1 0 1],"[[1, 0, 4, 0, 3], [2, 3, 0, 0, 4], [1, 4, 0, 3, 0], [2, 0, 3, 4, 0]]","[1, 1, 0, 1]"
19,19,19,"{'right': 'empty', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_turn_left', 'priority_ruling': 'none_no'}","[['crosswalk', 'green']]",[0 0 1 1],"[[0, 4, 3, 1, 4], [0, 4, 1, 4, 3], [0, 3, 4, 4, 1], [0, 1, 4, 3, 4]]","[0, 0, 1, 1]"
20,20,20,"{'right': 'red_car_straight', 'down': 'white_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['red'], ['white']]",[0 0 1 0],"[[1, 2, 3, 4, 1], [2, 1, 4, 2, 3], [1, 3, 2, 1, 4], [2, 4, 1, 3, 2]]","[1, 0, 1, 0]"
21,21,21,"{'right': 'crosswalk', 'down': 'white_car_turn_right', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['white'], ['red']]",[1 0 0 0],"[[2, 3, 2, 4, 0], [1, 0, 4, 3, 2], [2, 2, 3, 0, 4], [1, 4, 0, 2, 3]]","[1, 1, 1, 0]"
22,22,22,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'green', 'white']]",[1 1 0 1],"[[1, 3, 4, 0, 2], [2, 2, 0, 3, 4], [1, 4, 3, 2, 0], [2, 0, 2, 4, 3]]","[1, 1, 0, 1]"
23,23,23,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'triangles_vertical'}","[['red'], ['green']]",[1 0 0 0],"[[1, 2, 4, 2, 4], [2, 4, 2, 2, 4], [1, 4, 2, 4, 2], [2, 2, 4, 4, 2]]","[1, 0, 0, 0]"
24,24,24,"{'right': 'white_car_straight', 'down': 'empty', 'left': 'red_car_turn_left', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['white'], ['red'], ['green']]",[1 0 0 0],"[[1, 2, 1, 1, 4], [2, 4, 1, 2, 1], [1, 1, 2, 4, 1], [2, 1, 4, 1, 2]]","[1, 0, 0, 0]"
25,25,25,"{'right': 'crosswalk', 'down': 'red_car_straight', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'red', 'green']]",[1 1 0 1],"[[1, 3, 4, 2, 2], [2, 2, 2, 3, 4], [1, 4, 3, 2, 2], [2, 2, 2, 4, 3]]","[1, 1, 0, 1]"
26,26,26,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'green_car_turn_left', 'priority_ruling': 'none_no'}","[['crosswalk'], ['red'], ['green']]",[0 1 0 0],"[[0, 4, 0, 1, 3], [0, 3, 1, 4, 0], [0, 0, 4, 3, 1], [0, 1, 3, 0, 4]]","[0, 1, 1, 0]"
27,27,27,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'red_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red'], ['green']]",[0 0 1 1],"[[2, 4, 0, 3, 2], [1, 2, 3, 4, 0], [2, 0, 4, 2, 3], [1, 3, 2, 0, 4]]","[0, 1, 1, 1]"
28,28,28,"{'right': 'crosswalk', 'down': 'empty', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white']]",[1 0 0 0],"[[1, 3, 2, 4, 4], [2, 4, 4, 3, 2], [1, 2, 3, 4, 4], [2, 4, 4, 2, 3]]","[1, 0, 1, 0]"
29,29,29,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'empty', 'up': 'white_car_straight', 'priority_ruling': 'stop_vertical'}","[['green', 'white']]",[0 1 0 1],"[[1, 4, 4, 2, 2], [2, 2, 2, 4, 4], [1, 4, 4, 2, 2], [2, 2, 2, 4, 4]]","[0, 1, 0, 1]"
30,30,30,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'green_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['green'], ['red']]",[0 1 0 0],"[[2, 4, 0, 2, 3], [1, 3, 2, 4, 0], [2, 0, 4, 3, 2], [1, 2, 3, 0, 4]]","[0, 1, 0, 1]"
31,31,31,"{'right': 'red_car_turn_left', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['red', 'green', 'crosswalk']]",[1 1 0 1],"[[0, 1, 4, 3, 0], [0, 0, 3, 1, 4], [0, 4, 1, 0, 3], [0, 3, 0, 4, 1]]","[1, 1, 0, 1]"
32,32,32,"{'right': 'crosswalk', 'down': 'empty', 'left': 'white_car_straight', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'green'], ['white']]",[1 0 0 1],"[[1, 3, 2, 0, 4], [2, 4, 0, 3, 2], [1, 2, 3, 4, 0], [2, 0, 4, 2, 3]]","[1, 0, 1, 1]"
33,33,33,"{'right': 'white_car_turn_left', 'down': 'red_car_turn_right', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['green', 'red'], ['white']]",[0 1 1 0],"[[2, 1, 0, 4, 0], [1, 0, 4, 1, 0], [2, 0, 1, 0, 4], [1, 4, 0, 0, 1]]","[0, 1, 1, 0]"
34,34,34,"{'right': 'crosswalk', 'down': 'empty', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'red']]",[1 0 1 0],"[[1, 3, 0, 4, 4], [2, 4, 4, 3, 0], [1, 0, 3, 4, 4], [2, 4, 4, 0, 3]]","[1, 0, 1, 0]"
35,35,35,"{'right': 'white_car_turn_right', 'down': 'green_car_turn_left', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'none_no'}","[['white', 'crosswalk'], ['red'], ['green']]",[1 0 1 0],"[[0, 0, 3, 0, 1], [0, 1, 0, 0, 3], [0, 3, 0, 1, 0], [0, 0, 1, 3, 0]]","[1, 0, 1, 1]"
36,36,36,"{'right': 'red_car_turn_right', 'down': 'green_car_turn_left', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['green', 'white'], ['red']]",[0 1 0 1],"[[2, 0, 4, 1, 1], [1, 1, 1, 0, 4], [2, 4, 0, 1, 1], [1, 1, 1, 4, 0]]","[1, 1, 0, 1]"
37,37,37,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red', 'white']]",[1 1 0 0],"[[0, 1, 4, 4, 0], [0, 0, 4, 1, 4], [0, 4, 1, 0, 4], [0, 4, 0, 4, 1]]","[1, 1, 0, 0]"
38,38,38,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'green']]",[1 1 0 0],"[[2, 3, 4, 4, 2], [1, 2, 4, 3, 4], [2, 4, 3, 2, 4], [1, 4, 2, 4, 3]]","[1, 1, 0, 0]"
39,39,39,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['white', 'crosswalk'], ['red']]",[0 1 0 1],"[[2, 4, 2, 1, 3], [1, 3, 1, 4, 2], [2, 2, 4, 3, 1], [1, 1, 3, 2, 4]]","[0, 1, 1, 1]"
40,40,40,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'white_car_turn_left', 'up': 'red_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'green'], ['red'], ['white']]",[1 1 0 0],"[[2, 3, 1, 1, 2], [1, 2, 1, 3, 1], [2, 1, 3, 2, 1], [1, 1, 2, 1, 3]]","[1, 1, 0, 0]"
41,41,41,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'crosswalk', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['red', 'crosswalk'], ['white']]",[1 0 1 0],"[[1, 1, 3, 1, 4], [2, 4, 1, 1, 3], [1, 3, 1, 4, 1], [2, 1, 4, 3, 1]]","[1, 0, 1, 0]"
42,42,42,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['white', 'crosswalk'], ['red']]",[0 0 1 1],"[[2, 1, 0, 3, 4], [1, 4, 3, 1, 0], [2, 0, 1, 4, 3], [1, 3, 4, 0, 1]]","[0, 0, 1, 1]"
